date,portfolioAction,portfolioConfidence,portfolioExposure,portfolioFixedExposure,portfolioScore,portfolioCoverage,portfolioRecoveryScore,marketAction,marketConfidence,marketExposure,marketScore,marketRecoveryScore,closeToCloseReturn,nextOpenReturn,nextCloseReturn,nextDayReturn,strategyReturn,forwardReturn5d,forwardReturn20d,forwardReturn60d
2024-09-13,분할 매수,약한 녹색,1,1,31,79.3,0.6004,신규 매수,강한 녹색,1,75,0.8792,1.3884,3.3539,1.2335,3.3539,3.3539,8.0254,8.5475,10.4545
2024-09-19,보유,녹색 대기,0.642,0.6,28,79.3,0.5803,신규 매수,강한 녹색,1,67,0.8195,1.2335,-0.8058,1.1996,-0.8058,-0.8058,6.7574,4.6889,6.4764
2024-09-20,보유,녹색 대기,0.6405,0.6,27,79.3,0.3723,신규 매수,강한 녹색,1,55,0.5188,1.1996,1.7587,1.037,1.7587,1.7587,5.7257,5.2343,3.7964
2024-09-23,보유,녹색 대기,0.63,0.6,20,79.3,0.2519,신규 매수,강한 녹색,1,53,0.3865,1.037,1.6051,-0.0913,1.6051,1.6051,0.4413,3.8708,2.0861
2024-09-24,보유,중립,0.6164999999999999,0.6,11,79.3,0.0315,신규 매수,약한 녹색,1,38,0.1005,-0.0913,1.9226,4.6339,1.9226,1.9226,-0.1269,2.5122,0.0897
2024-09-25,보유,녹색 대기,0.621,0.6,14,79.3,0.0838,신규 매수,약한 녹색,1,36,0.1589,4.6339,2.1204,-1.0021,2.1204,2.1204,-0.287,0.5542,0.6591
2024-09-26,보유,녹색 대기,0.642,0.6,28,79.3,0.2938,신규 매수,약한 녹색,1,43,0.3818,-1.0021,-1.7725,-2.0465,-1.7725,-1.7725,-1.514,-1.287,-1.0306
2024-09-27,보유,중립,0.612,0.6,8,79.3,0.0395,신규 매수,약한 녹색,1,34,0.099,-2.0465,-3.2544,-1.2027,-3.2544,-3.2544,0.3025,-1.4363,0.4984
2024-09-30,보유,중립,0.6044999999999999,0.6,3,79.3,0.0747,홀딩,녹색 대기,0.6,22,0.1453,-1.2027,1.0428,1.5472,1.0428,1.0428,4.1586,0.4886,3.2791
2024-10-02,보유,중립,0.585,0.6,-10,79.3,-0.1975,홀딩,중립,0.6,9,-0.1786,1.5472,1.7415,2.5013,1.7415,1.7415,2.7528,-0.3826,1.6484
2024-10-04,보유,녹색 대기,0.6224999999999999,0.6,15,79.3,0.0936,홀딩,녹색 대기,0.6,22,0.1474,2.5013,0.8586,-1.591,0.8586,0.8586,3.6632,-0.3507,1.1636
2024-10-07,보유,중립,0.615,0.6,10,79.3,0.0107,홀딩,녹색 대기,0.6,16,0.0438,-1.591,0.0165,0.7444,0.0165,0.0165,-0.0821,-0.1008,3.801
2024-10-08,보유,녹색 대기,0.6345,0.6,23,79.3,0.1933,신규 매수,약한 녹색,1,25,0.2682,0.7444,0.4211,-0.4093,0.4211,0.4211,-0.2283,1.3831,6.2716
2024-10-10,보유,녹색 대기,0.6315,0.6,21,79.3,0.4292,신규 매수,약한 녹색,1,30,0.5643,-0.4093,-0.2967,2.3405,-0.2967,-0.2967,0.9209,2.2696,3.5567
2024-10-11,보유,녹색 대기,0.633,0.6,22,79.3,0.4546,신규 매수,약한 녹색,1,28,0.5893,2.3405,2.6661,0.6469,2.6661,2.6661,0.0621,3.0474,4.5725
2024-10-14,보유,녹색 대기,0.6435,0.6,29,79.3,0.5064,신규 매수,약한 녹색,1,38,0.6346,0.6469,-2.7811,-3.0153,-2.7811,-2.7811,-2.7739,-0.5075,3.1814
2024-10-15,보유,녹색 대기,0.6315,0.6,21,79.3,0.5494,신규 매수,약한 녹색,1,25,0.6378,-3.0153,-0.105,1.6554,-0.105,-0.105,-0.3324,-1.2572,5.0207
2024-10-16,보유,녹색 대기,0.639,0.6,26,79.3,0.4487,신규 매수,약한 녹색,1,43,0.5643,1.6554,1.5755,-1.4768,1.5755,1.5755,-0.4823,-3.2113,4.2037
2024-10-17,보유,녹색 대기,0.645,0.6,30,79.3,0.4884,신규 매수,약한 녹색,1,43,0.5643,-1.4768,-1.1627,0.4063,-1.1627,-1.1627,-1.601,-5.7995,3.0972
2024-10-18,보유,녹색 대기,0.6375,0.6,25,79.3,0.4658,신규 매수,약한 녹색,1,37,0.5643,0.4063,-0.2472,-0.9952,-0.2472,-0.2472,-0.202,-4.7082,6.81
2024-10-21,보유,녹색 대기,0.648,0.6,32,79.3,0.447,신규 매수,강한 녹색,1,45,0.4883,-0.9952,-0.3395,1.3224,-0.3395,-0.3395,0.0333,-5.1669,8.8231
2024-10-22,보유,녹색 대기,0.6435,0.6,29,79.3,0.4287,신규 매수,약한 녹색,1,37,0.4773,1.3224,-0.2547,-1.2418,-0.2547,-0.2547,0.606,-3.3942,11.8554
2024-10-23,보유,녹색 대기,0.6405,0.6,27,79.3,0.242,신규 매수,약한 녹색,1,36,0.2268,-1.2418,0.4262,0.4091,0.4262,0.4262,-1.0686,-4.504,10.0697
2024-10-24,보유,녹색 대기,0.6525,0.6,35,79.3,0.4312,신규 매수,강한 녹색,1,46,0.4716,0.4091,0.2409,0.6123,0.2409,0.2409,-2.8148,-4.2209,10.6587
2024-10-25,보유,녹색 대기,0.651,0.6,34,79.3,0.3945,신규 매수,약한 녹색,1,36,0.3935,0.6123,-0.0103,-0.1592,-0.0103,-0.0103,-2.8838,-3.6053,12.947
2024-10-28,보유,녹색 대기,0.636,0.6,24,79.3,0.2208,신규 매수,약한 녹색,1,33,0.1891,-0.1592,0.2013,0.2625,0.2013,0.2013,-1.1042,-2.3953,12.4118
2024-10-29,보유,녹색 대기,0.6495,0.6,33,79.3,0.3399,신규 매수,강한 녹색,1,45,0.3833,0.2625,-1.9081,-2.0781,-1.9081,-1.9081,-0.2154,-3.4043,8.0513
2024-10-30,보유,녹색 대기,0.6224999999999999,0.6,15,79.3,0.159,홀딩,녹색 대기,0.6,21,0.1247,-2.0781,-1.2947,-1.1042,-1.2947,-1.2947,3.2059,-3.5743,7.5141
2024-10-31,보유,위험 경계,0.564,0.6,-24,79.3,-0.1582,홀딩,중립,0.6,-10,-0.2643,-1.1042,0.2377,2.4462,0.2377,0.2377,6.0786,-2.7952,9.1532
2024-11-01,보유,중립,0.5835,0.6,-11,79.3,-0.0949,홀딩,중립,0.6,3,-0.1742,2.4462,1.8168,-0.3859,1.8168,1.8168,6.2484,-3.4482,9.9424
